time,pressure,mcp_start_u1,mcp_start_u2,mcp_u1,mcp_u2,mcp_end_u1,mcp_end_u2,pip_start_u1,pip_start_u2,pip_u1,pip_u2,pip_end_u1,pip_end_u2,dip_start_u1,dip_start_u2,dip_u1,dip_u2,dip_end_u1,dip_end_u2,tip_u1,tip_u2
0.6,0.42,0,0,-0.0327319,0.606889,0.885112,0.594521,0.642779,-0.825902,2.19101,-2.93177,3.14782,-7.7827,0.380786,-16.7174,-0.714442,-25.7238,-5.39493,-37.4091,-18.8687,-54.0271
0.61,0.427,0,0,-0.00162313,0.578415,0.952702,0.461391,0.693249,-1.17348,2.25158,-3.4226,3.16132,-8.47309,0.217205,-17.6725,-1.05135,-26.9241,-6.0723,-38.8241,-20.1285,-55.556
0.62,0.434,0,0,0.0317327,0.546809,1.02317,0.316769,0.743553,-1.54618,2.30927,-3.94709,3.16464,-9.20514,0.0315418,-18.6755,-1.4237,-28.1759,-6.80313,-40.2849,-21.4592,-57.1124
0.63,0.441,0,0,0.0631704,0.517579,1.08968,0.181062,0.788681,-1.89691,2.36047,-4.44127,3.16187,-9.89697,-0.157302,-19.6231,-1.79724,-29.3606,-7.53213,-41.6641,-22.7768,-58.5641
0.64,0.448,0,0,0.0872185,0.497711,1.14336,0.0795638,0.823528,-2.16464,2.40427,-4.82566,3.161,-10.4513,-0.323456,-20.3957,-2.12862,-30.345,-8.19439,-42.8221,-23.986,-59.7708
0.65,0.455,0,0,0.103128,0.488475,1.183,0.0173466,0.848524,-2.33762,2.44208,-5.08291,3.16732,-10.8442,-0.453616,-20.9625,-2.39607,-31.0932,-8.75687,-43.722,-25.0398,-60.6992
0.66,0.462,0,0,0.111019,0.489939,1.20965,-0.00632148,0.865283,-2.4198,2.47654,-5.22013,3.18318,-11.0878,-0.548556,-21.3431,-2.60375,-31.6311,-9.23003,-44.3951,-25.9589,-61.3858
0.67,0.469,0,0,0.116043,0.495028,1.23117,-0.0158199,0.878859,-2.46664,2.5091,-5.30872,3.20279,-11.268,-0.626356,-21.6407,-2.78166,-32.0721,-9.65751,-44.9604,-26.8058,-61.9531
0.68,0.476,0,0,0.123083,0.497647,1.25612,-0.0349691,0.89441,-2.53689,2.54248,-5.4294,3.21812,-11.4901,-0.719078,-21.9909,-2.98671,-32.5731,-10.1299,-45.5847,-27.7167,-62.5685
0.69,0.483,0,0,0.138088,0.489674,1.29351,-0.0924039,0.916836,-2.69582,2.57692,-5.66734,3.21878,-11.8576,-0.855562,-22.5182,-3.26631,-33.2711,-10.7161,-46.4082,-28.787,-63.3689
0.7,0.49,0,0,0.164097,0.467047,1.34792,-0.203106,0.947753,-2.97833,2.61149,-6.06955,3.19637,-12.4298,-1.05835,-23.2956,-3.65766,-34.2478,-11.4718,-47.5136,-30.095,-64.4312
0.71,0.497,0,0,0.200997,0.429807,1.41878,-0.367364,0.984947,-3.38518,2.64286,-6.63768,3.14521,-13.2094,-1.33708,-24.3253,-4.17445,-35.5042,-12.414,-48.8976,-31.6591,-65.745
0.72,0.504,0,0,0.246575,0.38045,1.50134,-0.575033,1.02364,-3.88967,2.66625,-7.33468,3.06396,-14.1466,-1.6829,-25.5413,-4.79698,-36.9621,-13.5069,-50.474,-33.4195,-67.2201
0.73,0.511,0,0,0.294385,0.327553,1.58599,-0.795872,1.05804,-4.42327,2.68019,-8.07116,2.96177,-15.1329,-2.0686,-26.8124,-5.47995,-38.4766,-14.6829,-52.0922,-35.2794,-68.7061
0.74,0.518,0,0,0.34005,0.277043,1.66521,-1.0071,1.08539,-4.93015,2.68587,-8.7707,2.85181,-16.069,-2.45537,-28.0136,-6.15804,-39.9052,-15.8432,-53.6058,-37.0976,-70.0648
0.75,0.525,0,0,0.378401,0.23614,1.7327,-1.18336,1.10556,-5.35477,2.68868,-9.36093,2.75127,-16.8685,-2.80803,-29.0436,-6.77859,-41.1397,-16.9161,-54.9082,-38.7811,-71.1982
0.76,0.532,0,0,0.408787,0.206232,1.78771,-1.31962,1.12062,-5.68521,2.69295,-9.82554,2.66882,-17.5103,-3.10919,-29.8773,-7.31523,-42.1523,-17.8651,-55.9748,-40.2823,-72.0904
0.77,0.539,0,0,0.432842,0.184926,1.83331,-1.42433,1.13275,-5.94204,2.69976,-10.1918,2.60287,-18.0288,-3.36714,-30.5583,-7.78303,-42.9932,-18.7141,-56.8591,-41.6378,-72.7962
0.78,0.546,0,0,0.454045,0.167734,1.87455,-1.51446,1.14336,-6.16486,2.70764,-10.5132,2.54312,-18.492,-3.60847,-31.1704,-8.22532,-43.7561,-19.5269,-57.6562,-42.9364,-73.4049
0.79,0.553,0,0,0.4781,0.146239,1.91899,-1.6194,1.15279,-6.4193,2.7101,-10.8753,2.46992,-19.0027,-3.87469,-31.8348,-8.70505,-44.5719,-20.3901,-58.4956,-44.2916,-74.0356
0.8,0.56,0,0,0.509439,0.114328,1.9725,-1.76216,1.1601,-6.75864,2.70077,-11.3506,2.36243,-19.6526,-4.21261,-32.6627,-9.29588,-45.5628,-21.4078,-59.4946,-45.8405,-74.7886
0.81,0.567,0,0,0.551895,0.0659739,2.03931,-1.96356,1.16255,-7.22811,2.6706,-11.9973,2.20062,-20.5104,-4.65873,-33.732,-10.05,-46.8093,-22.646,-60.7273,-47.6612,-75.7252
0.82,0.574,0,0,0.605088,0.0015249,2.11772,-2.22255,1.15634,-7.82426,2.6146,-12.8118,1.97698,-21.5712,-5.2235,-35.0348,-10.981,-48.3006,-24.1198,-62.1767,-49.7671,-76.8205
0.83,0.581,0,0,0.666526,-0.076186,2.20348,-2.52809,1.13795,-8.52044,2.53002,-13.7574,1.69366,-22.7878,-5.89481,-36.5117,-12.066,-49.9686,-25.792,-63.7714,-52.1017,-78.0044
0.84,0.588,0,0,0.731808,-0.160575,2.28996,-2.85673,1.10633,-9.26277,2.42107,-14.763,1.36609,-24.0727,-6.63663,-38.0574,-13.2482,-51.698,-27.5814,-65.3969,-54.5557,-79.1738
0.85,0.595,0,0,0.795348,-0.2439,2.37102,-3.1804,1.06421,-9.98909,2.29769,-15.7456,1.02113,-25.3239,-7.39454,-39.5518,-14.4453,-53.3593,-29.3749,-66.9309,-56.9836,-80.2268
0.86,0.602,0,0,0.852964,-0.31895,2.44224,-3.47407,1.01741,-10.6444,2.17448,-16.6337,0.688182,-26.4561,-8.11539,-40.8977,-15.5817,-54.8523,-31.0763,-68.2825,-59.2699,-81.0909
0.87,0.609,0,0,0.902789,-0.383211,2.50304,-3.72805,0.970998,-11.2084,2.06054,-17.3994,0.385796,-27.4355,-8.7669,-42.0576,-16.6113,-56.1391,-32.6271,-69.4228,-61.3465,-81.7529
0.88,0.616,0,0,0.945334,-0.43638,2.55469,-3.94251,0.928092,-11.683,1.96069,-18.0469,0.118418,-28.2699,-9.34655,-43.0443,-17.5343,-57.2369,-34.0348,-70.3723,-63.2311,-82.2315
0.89,0.623,0,0,0.984267,-0.48472,2.60132,-4.1384,0.88579,-12.1136,1.86574,-18.6341,-0.132259,-29.0266,-9.88653,-43.9347,-18.3958,-58.2265,-35.3572,-71.2092,-64.9946,-82.5976
