,x,y,z,joint,pressure,th_values,d_values
3036,-12.060800024962756,0,64.61173849845243,4,2.36,0.27412141231822934,0.0
3037,-12.110064641610235,0,64.60533665970439,4,2.37,0.27505516346804637,0.0
3038,-12.159323425447747,0,64.59888384266843,4,2.38,0.2759889146178633,0.0
3039,-12.208576323734947,0,64.59238004989533,4,2.39,0.2769226657676803,0.0
3040,-12.257823283730621,0,64.58582528399043,4,2.4,0.27785641691749724,0.0
3041,-12.307064252692795,0,64.57921954761369,4,2.41,0.2787901680673142,0.0
3042,-12.356299177878727,0,64.57256284347957,4,2.42,0.2797239192171312,0.0
3043,-12.405528006545026,0,64.56585517435713,4,2.43,0.28065767036694816,0.0
3044,-12.454750685947657,0,64.55909654306996,4,2.44,0.28159142151676514,0.0
3045,-12.503967163342038,0,64.5522869524963,4,2.45,0.2825251726665821,0.0
3046,-12.553177385983064,0,64.54542640556886,4,2.46,0.28345892381639903,0.0
3047,-12.602381301125186,0,64.53851490527502,4,2.47,0.284392674966216,0.0
3048,-12.651578856022462,0,64.53155245465672,4,2.48,0.285326426116033,0.0
3049,-12.700769997928605,0,64.52453905681045,4,2.49,0.28626017726584996,0.0
3050,-12.749954674097042,0,64.51747471488736,4,2.5,0.2871939284156669,0.0
3051,-12.799132831780987,0,64.51035943209315,4,2.5100000000000002,0.28812767956548385,0.0
3052,-12.848304418233468,0,64.50319321168813,4,2.52,0.2890614307153008,0.0
3053,-12.897469380707417,0,64.49597605698722,4,2.5300000000000002,0.28999518186511786,0.0
3054,-12.946627666455688,0,64.48870797135994,4,2.54,0.2909289330149347,0.0
3055,-12.995779222731164,0,64.48138895823043,4,2.5500000000000003,0.29186268416475175,0.0
3056,-13.044923996786753,0,64.47401902107744,4,2.56,0.2927964353145687,0.0
3057,-13.0940619358755,0,64.46659816343436,4,2.57,0.29373018646438565,0.0
3058,-13.14319298725061,0,64.45912638888913,4,2.58,0.2946639376142026,0.0
3059,-13.192317098165507,0,64.45160370108442,4,2.59,0.2955976887640196,0.0
3060,-13.241434215873914,0,64.44403010371745,4,2.6,0.2965314399138366,0.0
3061,-13.290544287629876,0,64.43640560054013,4,2.61,0.29746519106365354,0.0
3062,-13.339647260687855,0,64.42873019535891,4,2.62,0.2983989422134705,0.0
3063,-13.388743082302739,0,64.42100389203496,4,2.63,0.2993326933632875,0.0
