time,pressure,mcp_u1,mcp_u2,pip_u1,pip_u2,dip_u1,dip_u2,tip_u1,tip_u2
0.84,0.252,1.6391,-1.79659,-2.01003,-29.8079,-33.4439,-71.8294,-84.3667,-91.1366
0.85,0.255,1.69096,-1.89721,-2.41797,-30.7372,-35.0367,-72.9388,-86.6923,-91.3536
0.86,0.258,1.73111,-1.97345,-2.73445,-31.4417,-36.3095,-73.7701,-88.566,-91.4045
0.87,0.261,1.75999,-2.02517,-2.9548,-31.9323,-37.2588,-74.3493,-89.9935,-91.3303
0.88,0.264,1.78038,-2.05808,-3.09676,-32.2581,-37.9426,-74.7399,-91.0593,-91.1787
0.89,0.267,1.79516,-2.07813,-3.18224,-32.4708,-38.4486,-75.0047,-91.8897,-90.9684
0.9,0.27,1.80838,-2.09477,-3.2563,-32.659,-38.9223,-75.2399,-92.67,-90.7373
0.91,0.273,1.82458,-2.11894,-3.3607,-32.9029,-39.4788,-75.5279,-93.5424,-90.5211
0.92,0.276,1.84856,-2.16127,-3.54409,-33.2928,-40.2678,-75.9588,-94.6893,-90.3439
0.93,0.279,1.88235,-2.22788,-3.84171,-33.8834,-41.4033,-76.5809,-96.2459,-90.1946
0.94,0.282,1.92789,-2.32437,-4.28019,-34.7062,-42.9417,-77.4108,-98.2639,-90.0638
0.95,0.285,1.98528,-2.45307,-4.87725,-35.7651,-44.8988,-78.4315,-100.738,-89.9325
0.96,0.288,2.05083,-2.60777,-5.6209,-37.0066,-47.2262,-79.5689,-103.59,-89.7405
0.97,0.291,2.12107,-2.78071,-6.48435,-38.3605,-49.8298,-80.7372,-106.691,-89.4372
0.98,0.294,2.19244,-2.96371,-7.4292,-39.7514,-52.5756,-81.8577,-109.871,-89.0138
0.99,0.297,2.25951,-3.14489,-8.39668,-41.0889,-55.2971,-82.8561,-112.941,-88.4764
1,0.3,2.31982,-3.31248,-9.32033,-42.2967,-57.8411,-83.684,-115.742,-87.8421
