time,pressure,mcp_start_u1,mcp_start_u2,mcp_u1,mcp_u2,mcp_end_u1,mcp_end_u2,pip_start_u1,pip_start_u2,pip_u1,pip_u2,pip_end_u1,pip_end_u2,dip_start_u1,dip_start_u2,dip_u1,dip_u2,dip_end_u1,dip_end_u2,tip_u1,tip_u2
0.34,0.102,0,0,0.324658,-0.0876093,1.23805,-1.34552,0.882843,-4.53964,1.76396,-7.58275,2.09406,-12.5833,-0.194051,-19.9674,-1.02086,-26.0903,-3.05238,-33.4394,-10.5179,-46.6019
0.35,0.105,0,0,0.314889,-0.0617991,1.24067,-1.28207,0.887732,-4.4372,1.7977,-7.48616,2.13884,-12.5453,-0.205163,-20.0095,-1.06647,-26.2304,-3.18954,-33.7033,-10.9087,-47.0146
0.36,0.108,0,0,0.323009,-0.0616482,1.26997,-1.311,0.902428,-4.53283,1.82684,-7.6561,2.1473,-12.8451,-0.305223,-20.466,-1.24592,-26.8345,-3.51655,-34.4711,-11.5872,-47.9784
0.37,0.111,0,0,0.352742,-0.0925853,1.32994,-1.45056,0.926695,-4.8626,1.8466,-8.13945,2.10681,-13.5386,-0.516897,-21.4,-1.59069,-27.9699,-4.0747,-35.8109,-12.6095,-49.5593
0.38,0.114,0,0,0.401882,-0.152155,1.41715,-1.69389,0.95468,-5.41284,1.84946,-8.92041,2.00634,-14.6088,-0.857228,-22.7912,-2.12302,-29.614,-4.89224,-37.6961,-14.0118,-51.721
0.39,0.117,0,0,0.466137,-0.234808,1.52309,-2.02108,0.977222,-6.13919,1.82594,-9.93972,1.83769,-15.9798,-1.32973,-24.5431,-2.84238,-31.6566,-5.96242,-40.0023,-15.7729,-54.3164
0.4,0.12,0,0,0.539727,-0.333343,1.63677,-2.40402,0.985712,-6.97694,1.76885,-11.107,1.60189,-17.5314,-1.91531,-26.5012,-3.71422,-33.919,-7.22976,-42.5295,-17.7974,-57.1165
0.41,0.123,0,0,0.614541,-0.436236,1.74625,-2.80087,0.976411,-7.83624,1.68147,-12.3006,1.31774,-19.1086,-2.56898,-28.4747,-4.67145,-36.1872,-8.59983,-45.0447,-19.9423,-59.8658
0.42,0.126,0,0,0.681955,-0.529755,1.84168,-3.16378,0.953112,-8.61899,1.57943,-13.3907,1.02146,-20.5512,-3.22458,-30.2736,-5.62327,-38.253,-9.95324,-47.3272,-22.04,-62.3321
0.43,0.129,0,0,0.735406,-0.602768,1.91721,-3.45296,0.925504,-9.24399,1.48549,-14.2685,0.758174,-21.7245,-3.80485,-31.7395,-6.46595,-39.9438,-11.1563,-49.1975,-23.9087,-64.3338
0.44,0.132,0,0,0.77125,-0.64844,1.97083,-3.64337,0.904495,-9.66061,1.42123,-14.8651,0.568361,-22.542,-4.24212,-32.772,-7.10932,-41.1513,-12.0935,-50.5452,-25.3933,-65.7668
0.45,0.135,0,0,0.788253,-0.663848,2.00327,-3.7247,0.897992,-9.84976,1.40103,-15.1553,0.476334,-22.9747,-4.49989,-33.3418,-7.50669,-41.8471,-12.7077,-51.3472,-26.4238,-66.62
0.46,0.138,0,0,0.787551,-0.650485,2.01736,-3.70364,0.907911,-9.82827,1.42659,-15.1634,0.481713,-23.0566,-4.58443,-33.4945,-7.66894,-42.0857,-13.0165,-51.666,-27.031,-66.9681
