time,pressure,joint,u1_start,u1_mid,u1_end,u2_start,u2_mid,u2_end,u1_init_offset_start,u1_init_offset_mid,u1_init_offset_end,L_init,L_arc,R_arc,u1_center_arc,u2_center_arc,theta_arc,theta_arc_start,theta_arc_end,delta_L,theta_joint
0.2,0.14,DIP,91.11874399999999,101.84974,112.29722,-2.9685,-5.4374,-9.01727,90.267,100.467,110.667,20.400000000000006,22.065075203975695,106.10363856182859,72.72635014959609,-107.46587778772626,0.20795776189256657,0.17422372596322355,0.38218148785579104,1.6650752039756895,14.465986257476828
0.21,0.147,MCP,0,15.243718000000001,30.0453739,0,0.355437,0.798011,0,15.4,30,30,30.056186495161576,2284.365644021415,-45.62780887201038,2283.9099147389575,0.013157344829547704,3.121617373593878,3.108460028764342,0.05618649516157603,-0.8275402139477979
0.21,0.147,PIP,53.793071000000005,63.993071,74.78877,1.14103,0.853762,-0.223483,53.267,63.467,73.667,20.4,21.05782925823672,147.67198046534995,54.7382372635352,-146.5279256924304,0.1425986784485346,-0.006400487850886217,0.13619819059764907,0.6578292582367204,9.865857179192792
0.21,0.147,DIP,91.13595199999999,101.89007,112.33667,-2.82383,-5.36439,-9.07193,90.267,100.467,110.667,20.400000000000006,22.146110955789382,101.54149684658437,73.20197615389085,-102.76905545972907,0.2180991185234269,0.17754856571705038,0.3956476842404778,1.7461109557893764,15.146126676270438
0.22,0.154,MCP,0,15.223054000000001,30.0212852,0,0.391676,0.902163,0,15.4,30,30,30.035221571896603,1714.465427661198,-36.48515580770358,1714.0771674726846,0.017518709381541393,3.120310270388613,3.102791561007092,0.03522157189660291,-1.0998828845381312
0.22,0.154,PIP,53.783904,63.983903999999995,74.80579,1.35838,1.11152,0.0444341,53.267,63.467,73.667,20.4,21.082191497192216,142.27521611014754,55.44378639485505,-140.90715310491066,0.14817894552253338,-0.01166696560022908,0.13651197992230216,0.6821914971922176,10.195701270850716
0.22,0.154,DIP,91.14805899999999,101.9289,112.37966,-2.57195,-5.16581,-8.98297,90.267,100.467,110.667,20.400000000000006,22.226598192422564,97.41175682328148,73.7885069118233,-98.42442163582172,0.22817161826518245,0.17916497464681894,0.40733659291200125,1.8265981924225585,15.818861383230496
0.23,0.161,MCP,0,15.201446,29.99749005,0,0.429291,1.0075,0,15.4,30,30,30.014990613526145,1386.231843330704,-31.530472189896336,1385.873209491952,0.021652215506324703,3.1188452381993033,3.0971930226929705,0.014990613526144614,-1.3668049740975752
0.23,0.161,PIP,53.775587,63.975587,74.8234,1.57484,1.36664,0.307038,53.267,63.467,73.667,20.4,21.10679081980439,137.1264682548521,56.07911361361243,-135.53227892965057,0.1539220771045968,-0.016799345858980706,0.1371227312456174,0.7067908198043931,10.53612439172479
0.23,0.161,DIP,91.160017,101.96672,112.41939,-2.32994,-4.98038,-8.9107,90.267,100.467,110.667,20.400000000000006,22.307343004913182,93.61400160545249,74.30398097834023,-94.4138981372465,0.23829066830120318,0.18104634987118076,0.4193370181723822,1.9073430049131765,16.492019104921845
0.24,0.168,MCP,0,15.184940000000001,29.9839389,0,0.460465,1.08844,0,15.4,30,30,30.004419386155455,1240.5012898267173,-30.006248313518494,1240.1383290278131,0.02418733429156426,3.1174014855257646,3.093214151234199,0.004419386155454674,-1.5434831829621685
0.24,0.168,PIP,53.779111,63.979110999999996,74.8524,1.72961,1.54075,0.466737,53.267,63.467,73.667,20.4,21.13359847483863,132.1801317740366,56.43394728438229,-130.42385790797738,0.15988483436350898,-0.02008633807233636,0.13979849629117305,0.733598474838633,10.907165348503547
0.24,0.168,DIP,91.17770999999999,102.00434,112.44916,-2.22527,-4.95541,-9.02141,90.267,100.467,110.667,20.400000000000006,22.388272204790617,90.1187825513931,74.59799654344857,-90.80578744172598,0.24843069969374024,0.18503020746512436,0.433460907158865,1.9882722047906114,17.1652698695966
0.25,0.175,MCP,0,15.177134,29.9871591,0,0.481074,1.13021,0,15.4,30,30,30.00918445840253,1238.3975757736364,-31.644836616838834,1237.993198687906,0.02423227002818991,3.116036820760317,3.091804550732127,0.009184458402529572,-1.5755989273490878
0.25,0.175,PIP,53.804592,64.004592,74.90199,1.78534,1.58328,0.457018,53.267,63.467,73.667,20.4,21.16356870885159,127.21762354186488,56.38695646418834,-125.40607139799397,0.16635720837755677,-0.020300189275811634,0.14605701910174476,0.7635687088515901,11.342977931787969
